"RFID","Date","Time","Feeder","Antenna","Site"
"01103F5814","05/20/2019","08:41:52","TG6",1,"Tony_Grove"
"01103F5814","05/20/2019","08:40:57","TG6",1,"Tony_Grove"
"01103F5814","05/20/2019","08:45:16","TG6",2,"Tony_Grove"
"01103F5814","05/20/2019","08:45:20","TG6",2,"Tony_Grove"
"01103F5814","05/20/2019","09:46:53","TG6",1,"Tony_Grove"
"01103F6F8D","05/22/2019","16:04:12","TG6",2,"Tony_Grove"
"01103F6F8D","05/22/2019","16:04:17","TG6",2,"Tony_Grove"
"01103F6F8D","05/22/2019","16:10:00","TG6",1,"Tony_Grove"
"01103F6F8D","05/22/2019","16:10:07","TG6",2,"Tony_Grove"
"01103F6F8D","05/22/2019","16:14:04","TG6",1,"Tony_Grove"
"01103F6F8D","05/22/2019","16:14:07","TG6",1,"Tony_Grove"
"01103F6F8D","05/22/2019","16:15:58","TG6",2,"Tony_Grove"
"01103F6F8D","05/22/2019","16:15:59","TG6",2,"Tony_Grove"
"01103F6F8D","05/22/2019","16:17:53","TG6",1,"Tony_Grove"
"01103F6F8D","05/22/2019","16:17:55","TG6",1,"Tony_Grove"
"0110171D9A","06/22/2019","10:27:02","TG6",1,"Tony_Grove"
"01103F6F8D","07/01/2019","08:38:54","TG6",2,"Tony_Grove"
"01103F6F8D","07/01/2019","08:44:10","TG6",1,"Tony_Grove"
"01103F6F8D","07/01/2019","08:45:33","TG6",2,"Tony_Grove"
"01103F6F8D","07/01/2019","08:45:34","TG6",2,"Tony_Grove"
"01103F6F8D","07/10/2019","08:24:10","TG6",1,"Tony_Grove"
"01103F6F8D","07/10/2019","08:24:14","TG6",2,"Tony_Grove"
"01103F6F8D","07/15/2019","08:31:59","TG6",1,"Tony_Grove"
"01103F6F8D","07/15/2019","08:32:02","TG6",2,"Tony_Grove"
"01103F6F8D","07/22/2019","07:17:28","TG6",1,"Tony_Grove"
"01103F6F8D","07/22/2019","07:17:32","TG6",2,"Tony_Grove"
"01103F6F8D","07/29/2019","07:39:54","TG6",1,"Tony_Grove"
"01103F6F8D","07/29/2019","07:39:59","TG6",2,"Tony_Grove"
"01103F6F8D","08/12/2019","07:02:39","TG6",1,"Tony_Grove"
"01103F6F8D","08/12/2019","07:02:40","TG6",1,"Tony_Grove"
