"RFID","Date","Time","Feeder","Antenna","Site"
"0110172F12","06/11/2019","18:37:31","LSSI2",2,"LSSI"
"0110172F12","06/11/2019","18:39:20","LSSI2",2,"LSSI"
"0110172F12","06/11/2019","18:40:01","LSSI2",2,"LSSI"
"0110172F12","06/11/2019","18:40:29","LSSI2",2,"LSSI"
"0110172F12","06/11/2019","18:40:41","LSSI2",2,"LSSI"
"0110172F12","06/11/2019","18:40:50","LSSI2",1,"LSSI"
"0110172F12","06/11/2019","18:41:02","LSSI2",1,"LSSI"
"0110172F12","06/11/2019","18:41:11","LSSI2",1,"LSSI"
"0110172F12","06/11/2019","18:41:23","LSSI2",1,"LSSI"
"0110172F12","06/12/2019","08:04:44","LSSI2",2,"LSSI"
"01101738AD","06/12/2019","10:00:42","LSSI2",2,"LSSI"
"01101738AD","06/12/2019","10:00:51","LSSI2",2,"LSSI"
"01101738AD","06/12/2019","10:01:01","LSSI2",2,"LSSI"
"01101738AD","06/12/2019","10:01:10","LSSI2",2,"LSSI"
"01101738AD","06/12/2019","10:01:19","LSSI2",2,"LSSI"
"01101738AD","06/12/2019","10:01:28","LSSI2",2,"LSSI"
"01101738AD","06/12/2019","10:01:42","LSSI2",2,"LSSI"
"01101738AD","06/12/2019","10:01:52","LSSI2",2,"LSSI"
"01101738AD","06/12/2019","10:02:01","LSSI2",2,"LSSI"
"01101738AD","06/12/2019","10:02:10","LSSI2",2,"LSSI"
"01101738AD","06/12/2019","10:02:28","LSSI2",2,"LSSI"
"01101738AD","06/12/2019","10:03:05","LSSI2",2,"LSSI"
"01101738AD","06/12/2019","10:03:15","LSSI2",2,"LSSI"
"01101738AD","06/12/2019","10:03:24","LSSI2",2,"LSSI"
"01101738AD","06/12/2019","10:03:33","LSSI2",2,"LSSI"
"01101738AD","06/12/2019","10:03:42","LSSI2",2,"LSSI"
"01101738AD","06/12/2019","10:03:58","LSSI2",2,"LSSI"
"01101738AD","06/12/2019","10:04:07","LSSI2",2,"LSSI"
"01101738AD","06/12/2019","10:04:17","LSSI2",2,"LSSI"
"01101738AD","06/12/2019","10:04:26","LSSI2",2,"LSSI"
"01101738AD","06/12/2019","10:04:38","LSSI2",1,"LSSI"
"0110171F62","06/12/2019","11:07:03","LSSI2",2,"LSSI"
"0110172F12","06/12/2019","11:11:18","LSSI2",2,"LSSI"
"0110172F12","06/12/2019","11:11:55","LSSI2",2,"LSSI"
"0110172F12","06/12/2019","11:12:27","LSSI2",2,"LSSI"
"0110172F12","06/12/2019","11:12:37","LSSI2",2,"LSSI"
"0110172F12","06/12/2019","11:12:46","LSSI2",2,"LSSI"
"0110172F12","06/12/2019","11:12:55","LSSI2",2,"LSSI"
"0110172F12","06/12/2019","11:13:04","LSSI2",2,"LSSI"
"0110172F12","06/12/2019","11:13:13","LSSI2",2,"LSSI"
"0110172F12","06/12/2019","11:13:23","LSSI2",2,"LSSI"
"0110172F12","06/12/2019","11:13:56","LSSI2",2,"LSSI"
"0110172F12","06/12/2019","11:14:06","LSSI2",2,"LSSI"
"0110172F12","06/12/2019","11:14:15","LSSI2",2,"LSSI"
"0110172F12","06/12/2019","11:14:32","LSSI2",2,"LSSI"
"0110172F12","06/12/2019","11:14:46","LSSI2",2,"LSSI"
"0110172F12","06/12/2019","11:14:55","LSSI2",2,"LSSI"
"0110172F12","06/12/2019","11:15:04","LSSI2",2,"LSSI"
"0110172F12","06/12/2019","11:15:13","LSSI2",2,"LSSI"
"0110172F12","06/12/2019","11:15:23","LSSI2",2,"LSSI"
"0110172F12","06/12/2019","11:15:32","LSSI2",2,"LSSI"
"0110172F12","06/12/2019","11:15:41","LSSI2",2,"LSSI"
"0110172F12","06/12/2019","11:15:50","LSSI2",2,"LSSI"
"0110172F12","06/12/2019","11:16:08","LSSI2",2,"LSSI"
"0110172F12","06/12/2019","11:16:17","LSSI2",2,"LSSI"
"0110172F12","06/12/2019","11:17:26","LSSI2",2,"LSSI"
"0110172F12","06/12/2019","11:17:35","LSSI2",2,"LSSI"
"0110171F62","06/12/2019","11:17:44","LSSI2",2,"LSSI"
"0110171F62","06/12/2019","11:17:53","LSSI2",2,"LSSI"
"0110171F62","06/12/2019","11:18:03","LSSI2",2,"LSSI"
"0110171F62","06/12/2019","11:18:12","LSSI2",2,"LSSI"
"0110171F62","06/12/2019","11:18:21","LSSI2",2,"LSSI"
"0110171F62","06/12/2019","11:18:31","LSSI2",2,"LSSI"
"0110171F62","06/12/2019","11:18:40","LSSI2",2,"LSSI"
"0110171F62","06/12/2019","11:18:49","LSSI2",2,"LSSI"
"0110171F62","06/12/2019","11:18:58","LSSI2",2,"LSSI"
"0110171F62","06/12/2019","11:19:07","LSSI2",2,"LSSI"
"0110171F62","06/12/2019","11:19:17","LSSI2",2,"LSSI"
"0110171F62","06/12/2019","11:19:26","LSSI2",2,"LSSI"
"0110171F62","06/12/2019","11:19:35","LSSI2",2,"LSSI"
"0110171F62","06/12/2019","11:19:45","LSSI2",2,"LSSI"
"0110171F62","06/12/2019","11:19:54","LSSI2",2,"LSSI"
"0110171F62","06/12/2019","11:20:03","LSSI2",2,"LSSI"
"0110171F62","06/12/2019","11:20:13","LSSI2",2,"LSSI"
"0110171F62","06/12/2019","11:20:22","LSSI2",2,"LSSI"
"0110171F62","06/12/2019","11:20:31","LSSI2",2,"LSSI"
"0110171F62","06/12/2019","11:20:41","LSSI2",2,"LSSI"
"0110171F62","06/12/2019","11:20:50","LSSI2",2,"LSSI"
"0110171F62","06/12/2019","11:20:59","LSSI2",2,"LSSI"
"0110171F62","06/12/2019","11:21:09","LSSI2",2,"LSSI"
"0110171F62","06/12/2019","11:21:18","LSSI2",2,"LSSI"
"0110171F62","06/12/2019","11:21:27","LSSI2",2,"LSSI"
"0110171F62","06/12/2019","11:21:36","LSSI2",2,"LSSI"
"0110171F62","06/12/2019","11:21:46","LSSI2",2,"LSSI"
"0110171F62","06/12/2019","11:21:55","LSSI2",2,"LSSI"
"0110171F62","06/12/2019","11:22:04","LSSI2",2,"LSSI"
"01101738AD","06/12/2019","13:14:38","LSSI2",2,"LSSI"
"01101738AD","06/12/2019","13:14:48","LSSI2",2,"LSSI"
"01101738AD","06/12/2019","13:15:08","LSSI2",2,"LSSI"
"01101738AD","06/12/2019","13:15:48","LSSI2",2,"LSSI"
"0110174C59","06/12/2019","15:23:49","LSSI2",2,"LSSI"
"01101738AD","06/12/2019","15:39:45","LSSI2",2,"LSSI"
"01101738AD","06/12/2019","15:40:10","LSSI2",2,"LSSI"
"01101738AD","06/12/2019","15:40:22","LSSI2",2,"LSSI"
"01101738AD","06/12/2019","15:40:36","LSSI2",2,"LSSI"
"0110172F12","06/12/2019","16:07:48","LSSI2",2,"LSSI"
"0110172F12","06/12/2019","16:07:57","LSSI2",2,"LSSI"
"0110172F12","06/12/2019","16:08:06","LSSI2",2,"LSSI"
"0110172F12","06/12/2019","16:08:15","LSSI2",2,"LSSI"
"0110172F12","06/12/2019","16:08:24","LSSI2",2,"LSSI"
"0110172F12","06/12/2019","16:08:34","LSSI2",2,"LSSI"
"0110172F12","06/12/2019","16:08:43","LSSI2",2,"LSSI"
"0110172F12","06/12/2019","16:08:52","LSSI2",2,"LSSI"
"0110172F12","06/12/2019","16:09:01","LSSI2",2,"LSSI"
"0110172F12","06/12/2019","16:09:10","LSSI2",2,"LSSI"
"0110172F12","06/12/2019","16:09:19","LSSI2",2,"LSSI"
"0110172F12","06/12/2019","16:09:28","LSSI2",2,"LSSI"
"0110172F12","06/12/2019","16:09:37","LSSI2",2,"LSSI"
"0110172F12","06/12/2019","16:09:46","LSSI2",2,"LSSI"
"0110172F12","06/12/2019","16:09:56","LSSI2",2,"LSSI"
"0110172F12","06/12/2019","16:10:05","LSSI2",2,"LSSI"
"0110172F12","06/12/2019","16:10:14","LSSI2",2,"LSSI"
"0110171F62","06/12/2019","16:30:50","LSSI2",2,"LSSI"
"0110171F62","06/12/2019","16:31:57","LSSI2",2,"LSSI"
"0110171F62","06/12/2019","16:32:06","LSSI2",2,"LSSI"
"0110171F62","06/12/2019","16:32:15","LSSI2",2,"LSSI"
"0110171F62","06/12/2019","16:32:24","LSSI2",2,"LSSI"
"0110171F62","06/12/2019","16:32:34","LSSI2",2,"LSSI"
"0110171F62","06/12/2019","16:32:43","LSSI2",2,"LSSI"
"0110171F62","06/12/2019","16:32:52","LSSI2",2,"LSSI"
"0110171F62","06/12/2019","16:33:01","LSSI2",2,"LSSI"
"0110171F62","06/12/2019","16:33:10","LSSI2",2,"LSSI"
"0110171F62","06/12/2019","16:34:36","LSSI2",2,"LSSI"
"0110171F62","06/12/2019","16:34:45","LSSI2",2,"LSSI"
"0110171F62","06/12/2019","16:34:54","LSSI2",2,"LSSI"
"0110171F62","06/12/2019","16:35:03","LSSI2",2,"LSSI"
"0110171F62","06/12/2019","16:35:12","LSSI2",2,"LSSI"
"0110171F62","06/12/2019","16:35:24","LSSI2",2,"LSSI"
"0110174FEA","06/12/2019","16:46:58","LSSI2",2,"LSSI"
"0110172F12","06/12/2019","17:58:25","LSSI2",2,"LSSI"
